"番剧名称","追番数","集数","上映时间"
"假面骑士 超越世代","80.5万追番","全1话","25年5月开播"
"假面骑士 超越世代（中配）","11.5万追番","全1话","25年5月开播"
"假面骑士ZZZ","122.8万追番","更新至第24话","25年9月开播"
"假面骑士ZZZ（中配）","96.5万追番","更新至第24话","25年9月开播"
"假面骑士创骑","65.7万追番","全49话","23年7月开播"
"假面骑士创骑（中配）","6.7万追番","全49话","23年7月开播"
"假面骑士利维斯","81.3万追番","全50话","25年5月开播"
"假面骑士利维斯 外传 亲爱的母亲","79.3万追番","全2话","25年5月开播"
"假面骑士利维斯 往事 假面骑士贝尔","79.6万追番","全5话","25年5月开播"
"假面骑士利维斯 疑案谜团","79.3万追番","全5话","25年5月开播"
"假面骑士利维斯（中配）","11.7万追番","全50话","25年5月开播"
"假面骑士加布","83.9万追番","全50话","2024/10/13开播"
"假面骑士加布（中配）","11.7万追番","全50话","2024/10/13开播"
"假面骑士圣刃","60.4万追番","全48话","24年6月开播"
"假面骑士圣刃 深罪三重奏","54.8万追番","全1话","25年5月开播"
"假面骑士圣刃 深罪三重奏（中配）","6.2万追番","全1话","25年5月开播"
"假面骑士圣刃（中配）","6.6万追番","全48话","24年6月开播"
"假面骑士圣刃×灵骑","53.8万追番","全1话","25年5月开播"
"假面骑士圣刃×灵骑（中配）","6.1万追番","全1话","25年5月开播"
"假面骑士帝骑","58.7万追番","全29话","24年5月开播"
"假面骑士幻梦 智脑与1000%的危机","63.1万追番","全1话","25年5月开播"
"假面骑士时王","56.4万追番","全49话","24年3月开播"
"假面骑士时王 下一刻 王权盖茨","2.9万追番","全1话","23年9月开播"
"假面骑士时王 下一刻 王权盖茨（中配）","5920追番","全1话","23年9月开播"
"假面骑士时王（中配）","6万追番","全49话","24年3月开播"
"假面骑士极狐","51.8万追番","全49话","23年3月开播"
"假面骑士极狐（中配）","5.8万追番","全49话","23年3月开播"
"假面骑士欧兹 10周年 复活的核心硬币","55万追番","全1话","25年5月开播"
"假面骑士欧兹 10周年 复活的核心硬币（中配）","2542追番","全1话","25年5月开播"
"假面骑士歌查德","50.4万追番","全50话","24年1月开播"
"假面骑士歌查德（中配）","6.9万追番","全50话","24年1月开播"
"假面骑士艾克赛德","71.8万追番","全45话","25年2月开播"
"假面骑士艾克赛德（中配）","6.5万追番","全45话","25年2月开播"
"假面骑士零一","48.6万追番","全46话","24年3月开播"
"假面骑士零一（中配）","5.6万追番","全46话","24年3月开播"
"假面骑士驰骑","79万追番","全48话","25年10月开播"
"假面骑士驰骑（中配）","8万追番","全48话","25年10月开播"
"假面骑士魂骑x剑锋","53.6万追番","全1话","25年5月开播"
"假面骑士魂骑x剑锋（中配）","6.1万追番","全1话","25年5月开播"
"偶像大师","41.5万追番","全25话","11年7月开播"
"偶像大师 SideM","10.9万追番","全13话","17年10月开播"
"偶像大师 XENOGLOSSIA","2.9万追番","全26话","07年4月开播"
"偶像大师 剧场版 向着光辉的彼岸！","6万追番","全1话","14年1月开播"
"偶像大师 灰姑娘女孩","56.3万追番","全13话","15年1月开播"
"偶像大师 灰姑娘女孩 第2期","18.8万追番","全12话","15年7月开播"
"偶像大师 灰姑娘女孩 第一季 OVA","4.6万追番","全1话","15年1月开播"
"偶像大师 灰姑娘女孩 第二季 OVA","4.2万追番","全3话","15年7月开播"
"偶像大师 闪耀祭典","4.3万追番","全3话","12年10月开播"
"偶像大师灰姑娘剧场 第三季（TV版）","9.8万追番","全13话","18年7月开播"
"偶像大师灰姑娘剧场 第三季（WEB版）","4.3万追番","全7话","18年7月开播"
"偶像大师灰姑娘剧场 第四季（TV版）","6.8万追番","全13话","19年4月开播"
"偶像梦幻祭","58.6万追番","全25话","19年7月开播"
"偶像荣耀/IDOLY PRIDE","70.6万追番","全12话","21年1月开播"
"催眠麦克风-Division Rap Battle- Rhyme Anima","83.2万追番","全13话","20年10月开播"
"傻大猫和崔弟鸟 第一季","1650追番","全13话","25年9月开播"
"傻大猫和崔弟鸟 第一季 中文配音","1350追番","全13话","25年9月开播"
"元气囝仔","90.8万追番","全12话","14年7月开播"
"元气少女缘结神◎","373万追番","全12话","15年1月开播"
"元气爆发伏魔金刚","1.4万追番","全47话","92年4月开播"
"元素猎人","9万追番","全39话","09年7月开播"
"兄弟战争","67.5万追番","全13话","13年7月开播"
"先驱少女的日常茶饭事","5290追番","全5话","17年8月开播"
"光之战记－ZUERST－","35.6万追番","全12话","20年10月开播"
"光之诅咒者","293万追番","全1话","23年2月开播"
"光晕：传奇","5.9万追番","全8话","10年2月开播"
"光死去的夏天","102.4万追番","全12话","25年7月开播"
"光能使者","21万追番","全41话","89年4月开播"
"克拉斯特学院","1.7万追番","全25话","05年10月开播"
"克雷瓦提斯-魔兽之王与婴儿与尸之勇者-","41.2万追番","全12话","25年7月开播"
"兔丸","5.5万追番","全12话","16年8月开播"
"兔八哥大工程 第一季","243追番","全40话","25年11月开播"
"兔八哥大工程 第一季 中文配音","508追番","全40话","25年11月开播"
"兔子机场","2048追番","全26话","22年1月开播"
"兔龟 女高网球部外传","6.3万追番","全12话","16年4月开播"
"兔龟 女高网球部外传 SP","1万追番","全1话","16年8月开播"
"入间同学入魔了","315.5万追番","全23话","19年10月开播"
"入间同学入魔了 第三季","391.4万追番","全21话","23年3月开播"
"入间同学入魔了 第二季","353.9万追番","全21话","21年5月开播"
"全员恶玉","319.1万追番","全12话","20年10月开播"
"全部成为F -THE PERFECT INSIDER-","49.5万追番","全11话","15年10月开播"
"全金属狂潮","42.8万追番","全24话","02年1月开播"
"全金属狂潮 Invisible Victory","57.1万追番","全12话","18年4月开播"
"全金属狂潮 总集篇","5.5万追番","全3话","17年11月开播"
"八月的棒球甜心","23.9万追番","全12话","19年4月开播"
"八犬传 -东方八犬异闻- 第一季","83.1万追番","全13话","13年1月开播"
"八犬传 -东方八犬异闻- 第二季","43.3万追番","全13话","13年7月开播"
"八男？别闹了！","139.1万追番","全12话","20年4月开播"
"公主恋人！","56.6万追番","全12话","09年7月开播"
"公主连结 与你重逢 第二季","317.4万追番","全12话","22年1月开播"
"公主连结Re:Dive","323.2万追番","全13话","20年4月开播"
"公司的小小前辈","38.6万追番","全12话","23年8月开播"
"关于养猫我一直是新手","17.9万追番","全30话","22年9月开播"
"关于前辈很烦人的事","317.8万追番","全12话","21年10月开播"
"关于完全听不懂老公在说什么的事 第一季","140.5万追番","全13话","14年10月开播"
"关于完全听不懂老公在说什么的事 第二季","96.3万追番","全13话","15年4月开播"
"关于我转生变成史莱姆这档事","795.8万追番","全28话","18年10月开播"
"关于我转生变成史莱姆这档事 第三季","1046.8万追番","全24话","24年11月开播"
"关于我转生变成史莱姆这档事 第二季","919.9万追番","全26话","21年1月开播"
"关于我转生变成史莱姆这档事 转生史莱姆日记","837.6万追番","全12话","21年5月开播"
"兽娘动物园 2","8.6万追番","全12话","19年1月开播"
"兽王星","4.2万追番","全11话","06年4月开播"
"兽电战队强龙者","17万追番","全48话","23年12月开播"
"兽电战队强龙者（中配）","1.9万追番","全48话","23年12月开播"
"再见了，夏日冒险","13.5万追剧","2022年2月18日上映","23年6月开播"
"再见了宇宙战舰大和号 爱的战士们","1.2万追番","全1话","78年8月开播"
"再见龙生，你好人生","16.7万追番","全12话","24年11月开播"
"再造人卡辛（OVA）","1.5万追番","全4话","93年8月开播"
"冒险者女儿到大都市当了S级冒险者","22.5万追番","全13话","23年11月开播"
"写真女友","63.2万追番","全13话","13年4月开播"
"农业娘","2538追番","全1话","10年10月开播"
"冬季恋歌","2.5万追番","全26话","09年10月开播"
"冬季花园","5.8万追番","全2话","06年12月开播"
"冰剑的魔术师将要统一世界","22.4万追番","全12话","23年4月开播"
"冰属性男子和酷酷女同事","116.9万追番","全12话","23年1月开播"
"冰海战记","215.3万追番","全24话","19年7月开播"
"冰海战记 第二季","196.6万追番","全24话","23年6月开播"
"决斗大师 Victory V3","1967追番","全3话","13年4月开播"
"决斗大师 VSRF","1.2万追番","全51话","16年4月开播"
"决斗大师VS","6102追番","全49话","14年4月开播"
"冷然之天秤","57.1万追番","全12话","18年4月开播"
"凉宫春日的忧郁 2006","73.2万追番","全14话","06年4月开播"
"凉宫春日的忧郁 2009","154万追番","全28话","09年4月开播"
"凉宫春日的消失","78.5万追番","全1话","10年2月开播"
"凉风","19.1万追番","全26话","05年7月开播"
"凡尔赛玫瑰","14.2万追番","全40话","79年10月开播"
"出云战记","2.7万追番","全12话","05年4月开播"
"出发！佩奇的交通工具图鉴","128追番","全11话","2月11日开播"
"出发！佩奇的交通工具图鉴 中文配音","279追番","全11话","2月11日开播"
"刀使巫女","80.6万追番","全25话","18年1月开播"
"刀使巫女（中配）","3.4万追番","全24话","18年5月开播"
"刀剑乱舞-花丸-","152万追番","全12话","16年10月开播"
"刀剑神域 Alicization","470.6万追番","全25话","18年10月开播"
"刀剑神域 Extra Edition","76.3万追番","全1话","13年12月开播"
"刀剑神域 爱丽丝篇 异界战争","517.3万追番","全13话","19年10月开播"
"刀剑神域 爱丽丝篇 异界战争 -终章-","610.5万追番","全12话","20年7月开播"
"刀剑神域：序列之争","128万追剧","2017年9月15日上映","17年9月开播"
"刀剑神域外传：暴风之铳 第二季","11.2万追番","全12话","24年11月开播"
"刀剑神域进击篇：无星之夜","812.6万追剧","2021年10月30日上映","23年5月开播"
"刀语","29.2万追番","全12话","10年1月开播"
"分形世界","5.4万追番","全11话","11年1月开播"
"列比乌斯/Levius","35.6万追番","全12话","20年5月开播"
"创之界限","88.3万追番","全24话","21年11月开播"
"创圣的大天使","17.2万追番","全26话","05年4月开播"
"创圣的大天使LOGOS","8.5万追番","全26话","15年7月开播"
"创龙传","1.7万追番","全12话","91年12月开播"
"初夏","2.4万追番","全2话","06年10月开播"
"初恋怪兽","95.8万追番","全12话","16年7月开播"
"初瓣","3.2万追番","全12话","07年3月开播"
"初音岛","45.7万追番","全26话","03年7月开播"
"初音岛 S.S.","16.2万追番","全26话","05年7月开播"
"初音岛II","13.2万追番","全13话","07年10月开播"
"初高中同校！！鬼灭学园物语","73.4万追番","全7话","21年7月开播"
"判处勇者刑","60.5万追番","更新至第8话","1月3日开播"
"到另一个你的身边去","4.9万追番","全24话","05年10月开播"
"刺客守则","174万追番","全12话","19年10月开播"
"刺猬索尼克","2.9万追剧","2020年2月14日上映","24年10月开播"
"刺猬索尼克 第一季","5.7万追番","全13话","25年9月开播"
"刺猬索尼克 第一季 中文配音","5.6万追番","全13话","25年9月开播"
"刺猬索尼克 第二季","5.6万追番","全13话","25年9月开播"
"刺猬索尼克 第二季 中文配音","5.6万追番","全13话","25年9月开播"
"刺猬索尼克历险记","5.6万追番","全64话","25年9月开播"
"刺猬索尼克历险记 中文配音","5.6万追番","全64话","25年9月开播"
"刻刻","130.3万追番","全12话","18年1月开播"
"前桥魔女","18.3万追番","全12话","25年4月开播"
"前进吧！登山少女","43.8万追番","全12话","13年1月开播"
"前进吧！登山少女 第三季","29.7万追番","全13话","18年7月开播"
"前进吧！登山少女 第二季","16.7万追番","全24话","14年7月开播"
"前进吧！登山少女 第四季","54.6万追番","全12话","22年10月开播"
"剧场版 BEM BECOME HUMAN","41.8万追番","全1话","20年12月开播"
"剧场版 K Seven Stories","77.8万追番","全13话","18年7月开播"
"剧场版 中二病也要谈恋爱！ -Take On Me-","163.7万追番","全1话","18年7月开播"
"剧场版 假面骑士利维斯","79.8万追番","全1话","25年5月开播"
"剧场版 假面骑士利维斯（中配）","1275追番","全1话","25年5月开播"
"剧场版 兽电战队强龙者 大口咬的音乐","14.1万追番","全1话","24年10月开播"
"剧场版 兽电战队强龙者 大口咬的音乐（中配）","1.5万追番","全1话","24年10月开播"
"剧场版 咒术回战 0","1346.6万追番","全1话","25年4月开播"
"剧场版 宝石宠物 甜蜜舞蹈公主","2.2万追番","全1话","12年8月开播"
"剧场版 快要坏掉的八音盒","18.3万追番","全1话","10年9月开播"
"剧场版 悠哉日常大王 Vacation","44.5万追番","全1话","19年2月开播"
"剧场版 热情闪耀光之美少女 雪之公主与奇迹的戒指！","2.3万追番","全1话","23年9月开播"
"剧场版 王室教师海涅","23.8万追番","全1话","19年2月开播"
"剧场版 笑傲昙天(外传) 「前篇」","8.2万追番","全1话","17年12月开播"
"剧场版 美味派对♡光之美少女 梦想的♡儿童套餐！","1.8万追番","全1话","23年10月开播"
"剧场版 阿松","46.9万追番","全1话","19年11月开播"
"剧场版 黑色四叶草 魔法帝之剑","318.6万追番","全1话","24年4月开播"
